A ant apple aeroplace
B bag ball birds
C cat cake candle
D dog dress doctor
E eyes earth engine
F fan fish flowers
G gift grass garden
H home horse hammer
I ink island icecream
J jar jeep jacket
K key kite keyboard
L leaf light letter
M milk monkey mother
N neck nurse needle
O oil  orange October
P pot pizza Parent
Q quick	queen quiver
R rat radio razor
S sun shoe sandwich
T tea taxi train
U umpire umbrella ukulele
V vase vehicle vegetable
W wall water watermelon
X xerox		xylophone
Y yak Yolk yacht
Z zip zero zebra
